onlineProdSn,onlineProdCode,brandSn,brandName,url,prodName,salePrice,description,mainCategory,subCategory,detailCategory,reviewCount,avgRating,imageUrl,price,discountRate,ingredients
63070,411110000660,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63070,무화과 쇼콜라 블랙티 20입 (원산지:상세설명참조),9900,,뷰티푸드,차(TEA) / 간식,기타 차,357,4.82,https://images-kr.amoremall.com/products/411110000660/411110000660_01.jpg?1730963093327,11000,10,
60867,411110000622,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60867,티 에디션 아일랜드 6종 (원산지:상세설명참조),32400,,뷰티푸드,차(TEA) / 간식,기프트세트,551,4.92,https://images-kr.amoremall.com/products/411110000622/411110000622_01.jpg?1732241380508,36000,10,
56042,411110000531,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56042,피치 파파야 블랙티 20입 (원산지:상세설명참조),24300,,뷰티푸드,차(TEA) / 간식,기타 차,241,4.86,https://images-kr.amoremall.com/products/411110000531/411110000531_01.jpg?1735173323254,27000,10,
53008,411110000421,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53008,말차 스틱 5입 (원산지:상세설명참조),9000,오설록 말차스틱 5입,뷰티푸드,차(TEA) / 간식,녹차,292,4.59,https://images-kr.amoremall.com/products/411110000421/411110000421_01.jpg?1746662873572,10000,10,
53046,411110000457,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53046,제주 화산우롱차 20입 (원산지:상세설명참조),9900,,뷰티푸드,차(TEA) / 간식,녹차,675,4.82,https://images-kr.amoremall.com/products/411110000457/411110000457_01.jpg?1734935330511,11000,10,
57423,411110000554,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57423,찬물 녹차 20입 (원산지:상세설명참조),8550,,뷰티푸드,차(TEA) / 간식,녹차,694,4.86,https://images-kr.amoremall.com/products/411110000554/411110000554_01.jpg?1760579822534,9500,10,
52999,411110000412,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=52999,시그니처 비스킷 10입 (원산지:상세설명참조),14000,,뷰티푸드,차(TEA) / 간식,,1145,4.77,https://images-kr.amoremall.com/products/411110000412/411110000412_01.jpg?1743490968506,14000,0,
60176,411110000601,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60176,밀키 우롱티 10입 (구. 구름노래/원산지:상세설명참조),14850,,뷰티푸드,차(TEA) / 간식,블렌딩티,131,4.83,https://images-kr.amoremall.com/products/411110000601/411110000601_01.jpg?1734338427282,16500,10,
56056,411110000539,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56056,루이보스 카라멜베리 20입 (원산지:상세설명참조),24300,,뷰티푸드,차(TEA) / 간식,기타 차,239,4.86,https://images-kr.amoremall.com/products/411110000539/411110000539_01.jpg?1731981284165,27000,10,
56050,411110000533,207,오설록,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56050,세작 10입 (원산지:상세설명참조),16650,,뷰티푸드,차(TEA) / 간식,기타 차,98,4.99,https://images-kr.amoremall.com/products/411110000533/411110000533_01.jpg?1734056693836,18500,10,
