brandName,prodName,onlineProdSn,onlineProdCode,mainCategory,subCategory,detailCategory,price,salePrice,discountRate,reviewCount,avgRating,imageUrl
려,루트젠 여성 맞춤 탈모증상전문케어 샴푸 리필팩 400ml,62979,,생활용품,헤어,,17900,12900,27,664,4.79,https://images-kr.amoremall.com/products/111410000645/111410000645_01.png?1730102318243
려,헤어쿠션 (짙은갈색/자연갈색) 7g,60173,,생활용품,헤어,,30000,19900,33,380,4.61,https://images-kr.amoremall.com/products/111410000602/111410000602_01.png?1732777442937
려,자양윤모 9이엑스 탈모증상전문케어 모근강화 트리트먼트 330ml,46409,,생활용품,헤어,트리트먼트 & 팩,17000,9900,41,2112,4.78,https://images-kr.amoremall.com/products/111410000441/111410000441_01.png?1701742675894
려,진생보 두피모발영양 샴푸/컨디셔너 400ml,19678,,생활용품,헤어,샴푸,17000,9900,41,2612,4.71,https://images-kr.amoremall.com/products/111410000117/111410000117_01.png?1642126468070
려,루트젠 여성 맞춤 탈모증상전문케어 트리트먼트 515ml,57271,,생활용품,헤어,,22900,19900,13,926,4.75,https://images-kr.amoremall.com/products/111410000550/111410000550_01.jpg?1763375193686
려,루트젠 남성 맞춤 탈모증상전문케어 샴푸 515ml,57537,,생활용품,헤어,,22900,19900,13,557,4.79,https://images-kr.amoremall.com/products/111410000552/111410000552_01.png?1680222174297
려,루트젠 두피코어강화 두피청정샴푸 515ml,65840,,생활용품,헤어,,18900,16900,10,199,4.72,https://images-kr.amoremall.com/products/111410000685/111410000685_01.png?1750316804393
려,루트젠 두피코어강화 아쿠아필 두피토닉 100ml,65841,,생활용품,헤어,,16900,13900,17,127,4.69,https://images-kr.amoremall.com/products/111410000686/111410000686_01.png?1750316900645
려,함빛 극손상 앤 영양 트리트먼트 300ml,60189,,생활용품,헤어,,13900,8900,35,440,4.79,https://images-kr.amoremall.com/products/111410000604/111410000604_01.png?1744335845690
려,루트젠 탈모증상전문케어 헤어볼륨필러 150ml,62675,,생활용품,헤어,,19900,16900,15,137,4.23,https://images-kr.amoremall.com/products/111410000641/111410000641_01.png?1726041317629
려,[소용량] 루트젠 여성 맞춤 탈모증상전문케어 샴푸 353ml,61777,,생활용품,헤어,,17900,15900,11,55,4.62,https://images-kr.amoremall.com/products/111410000626/111410000626_01.png?1717393991613
려,맥주효모 탈모증상케어 모근영양 샴푸 980ml,67946,,생활용품,헤어,샴푸,19900,17900,10,2,5,https://images-kr.amoremall.com/products/111410000727/111410000727_01.png?1765531375234
